ID	block	new_block	x_t	b_t	delta_t	a_t	e_t	mu_t	c_t	tac	r_t	kappa_t	v_t	RT	initRT
99999	1	1	184	117.666757292284	66.3332427077156	NaN	77.3332427077157	195	1	0	0	16	0	2.64206869993359	1.79334360000212
99999	1	0	182	182.976699468112	-0.976699468111739	65.3099421758274	12.0233005318883	195	0	1	1	16	0	1.73929479997605	0.338624799973331
99999	1	0	182	180.5280567489	1.47194325109979	-2.44864271921153	14.4719432510998	195	0	2	1	16	0	1.08726290008053	0.419350399984978
99999	1	0	208	181.856158047449	26.1438419525511	1.32810129854869	13.1438419525511	195	0	3	0	16	0	1.58838370000012	0.388135699904524
99999	1	0	201	188.898313064463	12.1016869355374	7.04215501701372	6.10168693553739	195	0	4	0	16	0	2.52587800007313	1.82410159998108
99999	1	0	215	191.976132444203	23.0238675557967	3.07781937974074	3.02386755579665	195	0	5	0	16	0	1.63936600007582	0.052449700073339
99999	1	0	281	201.399810132082	79.6001898679178	9.4236776878789	89.6001898679178	291	1	0	0	16	0	2.05665929999668	0.856989599997178
99999	1	0	294	281.504815326259	12.4951846737412	80.1050051941766	9.49518467374118	291	0	1	1	16	0	1.18767779995687	0.238488600007258
99999	1	0	293	287.372248484092	5.62775151590754	5.86743315783362	3.62775151590756	291	0	2	1	16	0	1.00388329999987	0.372082100016996
99999	1	0	301	289.15561244544	11.8443875545603	1.78336396134726	1.8443875545603	291	0	3	1	16	0	1.321682699956	0.369574500015005
99999	1	0	296	291.589791687714	4.41020831228603	2.43417924227426	-0.589791687713961	291	0	4	1	16	1	1.33808350004256	0.319303600001149
99999	1	0	295	290.844488354711	4.15551164528939	-0.745303333003344	0.155511645289385	291	0	5	1	16	0	1.27144729997963	0.371941899997182
99999	1	0	254	288.52632957401	-34.52632957401	-2.31815878070063	2.47367042599002	291	0	6	1	16	0	3.26050859992392	0.50269200000912
99999	1	0	320	288.604965473802	31.3950345261977	0.0786358997922698	2.39503452619775	291	0	7	0	16	0	1.85677310009487	0.506187400082126
99999	1	0	294	289.423364540746	4.57663545925359	0.818399066944117	1.57663545925363	291	0	8	1	16	0	7.18947870004922	0.304770400049165
99999	1	0	287	293.629377730657	-6.62937773065681	4.20601318991044	-2.62937773065681	291	0	9	1	16	0	2.073915499961	0.339355399948545
99999	1	0	225	291.238430527436	-66.2384305274357	-2.39094720322111	-92.2384305274357	199	1	0	0	16	0	1.88978540000971	0.906855699955486
99999	1	0	203	225.147289597175	-22.1472895971752	-66.0911409302605	-26.1472895971752	199	0	1	0	16	0	1.25475220009685	0.17136160004884
99999	1	0	177	212.859752039722	-35.8597520397218	-12.2875375574534	-13.8597520397218	199	0	2	0	16	0	1.63887219992466	0.455240599927492
99999	1	0	216	199.689400445604	16.3105995543964	-13.1703515941182	-0.68940044560355	199	0	3	1	16	1	1.42200150003191	0.235146900056861
99999	1	0	206	199.653824058053	6.34617594194669	-0.0355763875502408	-0.653824058053307	199	0	4	1	16	0	1.80649350001477	0.552984600071795
99999	1	0	204	198.949787927114	5.05021207288558	-0.704036130938893	0.0502120728855861	199	0	5	1	16	0	0.886950100073591	0.238509500049986
99999	1	0	206	197.837250003307	8.16274999669282	-1.11253792380723	1.16274999669282	199	0	6	1	16	0	1.6392138999654	0.338767200009897
99999	1	0	197	198.095924498471	-1.0959244984706	0.258674495163417	0.904075501529405	199	0	7	1	16	0	2.00648499990348	0.069894399959594
99999	1	0	206	198.355701598888	7.64429840111225	0.259777100417153	0.644298401112252	199	0	8	0	16	0	1.15436219994444	0.103843700024299
99999	1	0	189	197.354024636261	-8.35402463626134	-1.00167696262643	1.64597536373868	199	0	9	1	16	0	1.20461700006854	0.321922700037248
99999	1	0	133	198.698982804181	-65.6989828041812	1.34495816791981	-55.6989828041811	143	1	0	0	16	0	1.78945519996341	0.407046600012109
99999	1	0	126	133.272344832136	-7.27234483213599	-65.4266379720452	9.72765516786403	143	0	1	1	16	0	2.02393299993128	0.271715799928643
99999	1	0	150	128.496944055118	21.5030559448817	-4.77540077701768	14.5030559448817	143	0	2	0	16	0	2.34132410003804	0.519480300019495
99999	1	0	131	142.738438087144	-11.7384380871439	14.2414940320256	0.261561912856113	143	0	3	1	16	1	1.57243790000211	0.202503900043666
99999	1	0	134	142.376726006945	-8.37672600694528	-0.361712080198607	0.623273993054723	143	0	4	1	16	0	1.2376479000086	0.421307099983096
99999	1	0	125	142.810414403501	-17.8104144035007	0.433688396555429	0.189585596499289	143	0	5	1	16	0	1.48902169999201	0.320119200041518
99999	1	0	142	143.246320814469	-1.24632081446853	0.435906410967804	-0.246320814468518	143	0	6	1	16	0	2.05728010006715	0.422375500085764
99999	1	0	1	143.228099600979	-142.228099600979	-0.0182212134897383	-151.228099600979	352	1	0	0	16	0	1.28833100001793	0.419349700096063
99999	1	0	320	1.78064244599869	-41.7806424459987	-141.44745715498	-9.78064244599872	352	0	1	0	16	0	1.73961899999995	0.439287799992599
99999	1	0	9	352.425320316842	16.5746796831579	-9.35532212915655	-0.425320316842168	352	0	2	1	16	1	1.80644849990495	0.0705088999820873
99999	1	0	355	352.405356631409	2.59464336859143	-0.0199636854335846	-0.405356631408583	352	0	3	1	16	0	1.08722099999432	0.335630599991418
99999	1	0	16	353.626360634122	22.3736393658775	1.22100400271393	-1.62636063412251	352	0	4	0	16	0	1.73906370007899	0.352361900033429
99999	1	0	354	353.509228365524	0.490771634475663	-0.117132268598149	-1.50922836552437	352	0	5	1	16	0	1.58909610006958	0.103628000011668
99999	1	0	358	355.141537080966	2.8584629190343	1.63230871544137	-3.14153708096573	352	0	6	1	16	0	1.68915819993708	0.0882811999181286
99999	1	0	282	356.065217943631	-74.0652179436305	0.923680862664839	-83.0652179436305	273	1	0	0	16	0	1.23799430008512	0.338610799983144
99999	1	0	282	281.947776621757	0.0522233782430707	-74.1174413218736	-8.94777662175693	273	0	1	1	16	0	1.18818049994297	0.337444799952209
99999	1	0	266	281.011830171644	-15.0118301716444	-0.9359464501126	-8.01183017164433	273	0	2	1	16	0	1.55543190008029	0.639555800007656
99999	1	0	240	272.615754875422	-32.6157548754219	-8.39607529622248	0.384245124578147	273	0	3	0	16	1	1.4550048999954	0.622960700071417
99999	1	0	268	273.22452260652	-5.22452260651987	0.608767731098021	-0.224522606519874	273	0	4	1	16	0	1.47211920004338	0.522048800019547
99999	1	0	283	273.873489724345	9.1265102756554	0.648967117824714	-0.873489724344588	273	0	5	1	16	0	1.42172369989567	0.572714299894869
