ID	block	new_block	x_t	b_t	delta_t	a_t	e_t	mu_t	c_t	tac	r_t	kappa_t	v_t	RT	initRT
77216	3	1	322	53.833414651219	-91.833414651219	NaN	-111.833414651219	302	1	0	0	16	0	2.41312689997721	1.74895430001197
77216	3	0	292	322.138196882259	-30.1381968822587	-91.6952177689603	-20.1381968822587	302	0	1	0	16	0	2.21956749999663	0.00912969995988533
77216	3	0	310	305.683893463117	4.31610653688288	-16.4543034191416	-3.68389346311713	302	0	2	1	16	0	2.20435860002181	0.521774300024845
77216	3	0	309	308.875813939538	0.1241860604625	3.19192047642039	-6.87581393953753	302	0	3	1	16	0	1.757756099978	0.493079099978786
77216	3	0	315	308.269516065384	6.73048393461565	-0.60629787415317	-6.26951606538435	302	0	4	1	16	0	1.31267509999452	0.36333810002543
77216	3	0	321	302.202199997152	18.797800002848	-6.06731606823236	-0.202199997151989	302	0	5	0	16	1	2.92123520001769	1.15567140001804
77216	3	0	329	302.304635261427	26.6953647385729	0.102435264275067	-0.304635261427056	302	0	6	0	16	0	2.68167690001428	0.0338910999707878
77216	3	0	283	312.144382569084	-29.1443825690838	9.83974730765672	-10.1443825690838	302	0	7	0	16	0	1.3819225000334	0.416910900035873
77216	3	0	311	305.642576575379	5.35742342462058	-6.50180599370436	-3.64257657537942	302	0	8	1	16	0	1.40794419997837	0.392526799987536
77216	3	0	297	306.638867528949	-9.63886752894862	0.9962909535692	-4.63886752894862	302	0	9	1	16	0	1.07698930002516	0.294632199977059
77216	3	0	312	305.394795844987	6.60520415501292	-1.24407168396156	-3.39479584498707	302	0	10	1	16	0	2.90933199995197	0.711183499952313
77216	3	0	290	304.92267586992	-14.9226758699201	-0.472119975066954	-2.92267586992011	302	0	11	0	16	0	1.19299059995683	0.395097900007386
77216	3	0	287	302.644640134916	-15.6446401349165	-2.27803573500364	-0.644640134916473	302	0	12	1	16	0	1.24764660000801	0.331962099997327
77216	3	0	291	302.342726632777	-11.3427266327767	-0.301913502139756	-0.342726632776713	302	0	13	0	16	0	1.68286860000808	0.683315100031905
77216	3	0	11	302.005383208084	68.9946167919165	-0.337343424693185	80.9946167919165	23	1	0	0	16	0	1.79527900001267	0.679284200014081
77216	3	0	2	10.0671818670773	-8.0671818670773	68.0617986589938	12.9328181329227	23	0	1	1	16	0	0.882671900035348	0.0192909000325017
