ID	block	new_block	x_t	b_t	delta_t	a_t	e_t	mu_t	c_t	tac	r_t	kappa_t	v_t	RT	initRT
52734	3	1	54	185.042451069171	-131.042451069171	NaN	-128.042451069171	57	1	0	0	16	0	4.54169810001622	0.593893000012031
52734	3	0	59	62.3789250169245	-3.37892501692448	-122.663526052246	-5.37892501692448	57	0	1	1	16	0	0.602481300011277	0.203682899998967
52734	3	0	37	42.9701132136895	-5.9701132136895	-19.408811803235	14.0298867863105	57	0	2	1	16	0	1.06516890000785	0.366277699999046
52734	3	0	49	53.4512336734629	-4.45123367346292	10.4811204597734	3.54876632653708	57	0	3	1	16	0	0.691666999977315	0.210712699976284
52734	3	0	63	64.2495258726817	-1.24952587268172	10.7982921992188	-7.24952587268172	57	0	4	1	16	0	0.495155500015244	0.0816655000089668
52734	3	0	47	60.7953001321905	-13.7953001321905	-3.45422574049126	-3.79530013219045	57	0	5	0	16	0	0.491684000007808	0.0257296000199858
52734	3	0	55	41.698134325565	13.301865674435	-19.0971658066255	15.301865674435	57	0	6	0	16	0	1.01579919998767	0.454302500002086
52734	3	0	47	63.5576376707611	-16.5576376707611	21.8595033451961	-6.55763767076109	57	0	7	0	16	0	1.03089249998447	0.417025300004752
52734	3	0	78	44.6350636642694	33.3649363357306	-18.9225740064917	12.3649363357307	57	0	8	0	16	0	0.613467199989827	0.169872800004669
52734	3	0	74	76.4462359022684	-2.44623590226836	31.811172237999	-19.4462359022684	57	0	9	1	16	0	0.699391200003447	0.436080200015567
52734	3	0	90	67.0496369898732	22.9503630101268	-9.39659891239517	-10.0496369898732	57	0	10	1	16	0	0.834518000017852	0.40648720000172
52734	3	0	3	99.007169886141	-96.007169886141	31.9575328962678	-95.007169886141	4	1	0	0	16	0	0.990166899980977	0.211537399998633
52734	3	0	349	28.0366457172619	-39.0366457172619	-70.9705241688791	-24.0366457172619	4	0	1	0	16	0	2.26081419998081	1.8975523999834
52734	3	0	27	290.909420932079	96.0905790679208	-97.1272247851828	73.0905790679208	4	0	2	0	16	0	0.941750500001945	0.263794800004689
52734	3	0	19	45	-26	114.090579067921	-41	4	0	3	1	16	0	0.694971899996744	0.0973996999964584
52734	3	0	10	6.76617482255307	3.23382517744693	-38.2338251774469	-2.76617482255307	4	0	4	1	16	0	0.511614000017289	0.0637390000047162
52734	3	0	336	22.275897848259	-46.275897848259	15.5097230257059	-18.275897848259	4	0	5	0	16	0	0.600209199998062	0.0372326000069734
52734	3	0	3	314.694696782036	48.3053032179641	-67.5812010662231	49.3053032179641	4	0	6	0	16	0	0.708185700001195	0.176340800011531
52734	3	0	359	360	-0.999999999999989	45.3053032179641	4.00000000000001	4	0	7	1	16	0	0.763819699990563	0.398820299975341
52734	3	0	1	10.9432978188161	-9.94329781881612	10.9432978188161	-6.94329781881612	4	0	8	1	16	0	0.55590539998957	0.0740134000079706
52734	3	0	169	347.726880200861	-178.726880200861	-23.2164176179551	-154.726880200861	193	1	0	0	16	0	0.623373599984916	0.276901300007012
52734	3	0	184	148.871316521281	35.1286834787188	161.14443632042	44.1286834787188	193	0	1	0	16	0	0.653303800005233	0.340362399991136
52734	3	0	196	27.0146165067838	168.985383493216	-121.856700014497	165.985383493216	193	0	2	0	16	0	0.618176899995888	0.0896751999971457
52734	3	0	188	222.546968339078	-34.5469683390781	-164.467648167706	-29.5469683390781	193	0	3	0	16	0	0.739259000023594	0.142905600019731
52734	3	0	60	174.277311490184	-114.277311490184	-48.269656848894	-124.277311490184	50	1	0	0	16	0	0.558392000006279	0.246994600020116
52734	3	0	44	120.696935520001	-76.6969355200007	-53.5803759701834	-70.6969355200007	50	0	1	0	16	0	0.479253099998459	0.25055369999609
52734	3	0	48	342.06653315896	65.9334668410405	-138.630402361041	67.9334668410405	50	0	2	0	16	0	0.436082900007023	0.0249371000099927
52734	3	0	49	74.2836450480579	-25.2836450480579	92.2171118890984	-24.2836450480579	50	0	3	0	16	0	0.511919499986107	0.249394799990114
52734	3	0	54	36.7203006502415	17.2796993497585	-37.5633443978164	13.2796993497585	50	0	4	0	16	0	0.631362999993144	0.320161599986022
52734	3	0	28	70.8116748298673	-42.8116748298673	34.0913741796258	-20.8116748298673	50	0	5	0	16	0	0.558757799997693	0.178623400017386
52734	4	1	266	251.318972033692	14.6810279663075	NaN	41.6810279663075	293	1	0	0	16	0	1.07811189998756	0.28159389999928
52734	4	0	290	265.389350681339	24.6106493186606	14.0703786476469	27.6106493186606	293	0	1	0	16	0	0.486534399999073	0.290550200006692
52734	4	0	294	320.26079464583	-26.2607946458305	54.8714439644911	-27.2607946458305	293	0	2	0	16	0	0.461583199998131	0.0993327999894973
52734	4	0	294	280.487753363834	13.5122466361659	-39.7730412819964	12.512246636166	293	0	3	0	16	0	0.591938199999277	0.278825100016547
52734	4	0	291	305.837652954278	-14.8376529542783	25.3498995904443	-12.8376529542783	293	0	4	0	16	0	0.446122200024547	0.0657284000189975
52734	4	0	306	281.6380150801	24.3619849199002	-24.1996378741785	11.3619849199002	293	0	5	0	16	0	0.496470899990527	0.250276200007647
52734	4	0	314	283.753861429454	30.2461385705459	2.11584634935435	9.24613857054589	293	0	6	0	16	0	0.463857100025052	0.148559400025988
52734	4	0	336	330.783493030238	5.21650696976213	47.0296316007838	-37.7834930302379	293	0	7	1	16	0	0.647008900006767	0.24822020001011
52734	4	0	319	351.54854560415	-32.5485456041496	20.7650525739117	-58.5485456041496	293	0	8	0	16	0	0.712070799985668	0.479584799992153
52734	4	0	310	308.837011130884	1.16298886911557	-42.7115344732652	-15.8370111308844	293	0	9	1	16	0	0.582840199989732	0.286090499983402
