ID	block	new_block	x_t	b_t	delta_t	a_t	e_t	mu_t	c_t	tac	r_t	kappa_t	v_t	RT	initRT
54323	1	1	203	233.333072383952	-30.3330723839515	NaN	-45.3330723839515	188	1	0	0	16	0	2.04033420002088	1.52478940004949
54323	1	0	184	203.04677375312	-19.0467737531202	-30.2862986308313	-15.0467737531202	188	0	1	1	16	0	1.80202010006178	0.135562600102276
54323	1	0	202	197.474774256256	4.52522574374434	-5.5719994968645	-9.47477425625565	188	0	2	1	16	0	1.57423090003431	0.091352800023742
54323	1	0	193	200.764068401274	-7.76406840127385	3.28929414501818	-12.7640684012738	188	0	3	1	16	0	2.16735900007188	0.484766900073737
54323	1	0	185	194.222469614466	-9.22246961446553	-6.54159878680832	-6.22246961446552	188	0	4	1	16	0	2.75029260001611	0.684950300026685
54323	1	0	186	187.717369758803	-1.71736975880282	-6.5050998556627	0.282630241197186	188	0	5	1	16	0	2.1386679999996	0.0546911000274122
54323	1	0	167	186.438049514998	-19.4380495149985	-1.27932024380433	-20.4380495149985	166	1	0	0	16	0	1.85569210001267	0.0227398000424728
54323	1	0	157	168.87853980511	-11.8785398051097	-17.5595097098888	-2.87853980510966	166	0	1	1	16	0	1.90438459999859	0.189890200039372
54323	1	0	172	164.086810829532	7.91318917046838	-4.79172897557802	1.91318917046837	166	0	2	1	16	1	5.4128871000139	0.328873599995859
54323	1	0	191	167.11896857517	23.8810314248305	3.03215774563786	-1.11896857516949	166	0	3	0	16	0	1.32654070004355	0.494756700005382
54323	1	0	164	179.543469585901	-15.5434695859009	12.4245010107314	-13.5434695859009	166	0	4	1	16	0	0.999092299956828	0.0836343000410125
54323	1	0	297	168.460702139875	128.539297860125	-11.0827674460261	134.539297860125	303	1	0	0	16	0	1.88675940001849	0.471075400011614
54323	1	0	319	273.679549238451	45.3204507615494	105.218847098576	29.3204507615494	303	0	1	0	16	0	4.11174870003015	2.6967813000083
54323	1	0	301	307.549750931344	-6.54975093134384	33.8702016928933	-4.54975093134386	303	0	2	1	16	0	6.94619149994105	5.74975880002603
54323	1	0	275	301.24246903596	-26.2424690359598	-6.30728189538408	1.75753096404022	303	0	3	0	16	0	3.36898160004057	0.454005300067365
54323	1	0	315	274.705810996751	40.2941890032493	-26.5366580392091	28.2941890032493	303	0	4	0	16	0	1.02593470003922	0.477843099972233
54323	1	0	320	311.257011704313	8.74298829568713	36.5512007075622	-8.25701170431287	303	0	5	1	16	0	1.68846149998717	0.0381943000247702
