ID	block	new_block	x_t	b_t	delta_t	a_t	e_t	mu_t	c_t	tac	r_t	kappa_t	v_t	RT	initRT	confidence	confidenceRT
99029	1	1	58	305.385430729099	112.614569270901	NaN	93.614569270901	39	1	0	0	8	0	1.69751749979332	0.481116199865937	0	3.10097880009562
99029	1	0	35	58.3052365060911	-23.3052365060911	112.919805776992	-19.3052365060911	39	0	1	1	8	0	3.82740070018917	0.527518999762833	16	2.85343359969556
99029	1	0	36	39.9137782903654	-3.91377829036538	-18.3914582157257	-0.913778290365384	39	0	2	1	8	0	1.21044269995764	0.32801379961893	27	2.96958479983732
99029	1	0	358	38.7901738528137	-40.7901738528137	-1.12360443755165	0.20982614718627	39	0	3	0	8	0	1.48905510036275	0.439983600284904	50	1.53470400022343
99029	1	0	185	34.0277597621883	150.972240237812	-4.76241409062539	150.972240237812	185	1	0	0	8	0	2.57342740008608	0.657747799996287	50	1.80200589960441
99029	1	0	146	188.890423257364	-42.8904232573639	154.862663495176	-3.89042325736387	185	0	1	0	8	0	1.96746269986033	0.651470200158656	22	4.53765380010009
99029	1	0	147	155.432828679399	-8.43282867939869	-33.4575945779652	29.5671713206013	185	0	2	1	8	0	1.94109319988638	1.00904929963872	35	2.28512809984386
99029	1	0	204	146.842076115328	57.1579238846722	-8.59075256407091	38.1579238846722	185	0	3	0	8	0	4.41156860021874	1.09421620005742	64	7.6065790001303
99029	1	0	204	180.725224299059	23.2747757009407	33.8831481837315	4.27477570094071	185	0	4	0	8	0	1.05696150008589	0.374690699856728	50	1.66855719964951
99029	1	0	203	203.998890354378	-0.998890354377579	23.2736660553183	-18.9988903543776	185	0	5	1	8	0	2.16221609991044	0.563131200149655	50	1.56839269958436
99029	1	0	207	203.904991974799	3.09500802520113	-0.0938983795787038	-18.9049919747989	185	0	6	1	8	0	2.98622149974108	1.60445969970897	62	2.58564180042595
99029	1	0	181	184.953257477842	-3.95325747784207	-18.9517344969568	0.0467425221579108	185	0	7	1	8	1	2.43113490007818	0.24767790036276	87	7.17253619991243
99029	1	0	183	184.91656600601	-1.91656600601004	-0.0366914718320469	0.083433993989958	185	0	8	1	8	1	2.55831830017269	0.892387699801475	92	5.35472099995241
99029	1	0	197	183.219494896853	13.7805051031472	-1.69707110915719	1.78050510314715	185	0	9	0	8	0	1.72454850003123	0.925644800066948	84	3.11971089988947
99029	1	0	190	188.564518642576	1.43548135742438	5.34502374572279	-3.56451864257564	185	0	10	1	8	0	6.32019230024889	0.717750200070441	50	1.86806929996237
99029	1	0	195	191.906052021945	3.09394797805481	3.34153337936957	-6.90605202194521	185	0	11	1	8	0	5.49863279983401	0.396496499888599	67	2.20242549991235
99029	1	0	154	194.875682001639	-40.8756820016388	2.96962997969359	-9.8756820016388	185	0	12	0	8	0	1.85723089985549	0.57471670024097	69	3.16964850015938
99029	1	0	186	153.705209929416	32.2947900705838	-41.1704720722226	31.2947900705838	185	0	13	0	8	0	2.00291390018538	0.236618100199848	25	2.83581440011039
99029	1	0	200	186.46593209894	13.5340679010605	32.7607221695234	-1.46593209893953	185	0	14	0	8	0	4.15532679995522	0.8890205998905	64	4.43708259984851
99029	1	0	201	192.789072276326	8.21092772367377	6.32314017738672	-7.78907227632625	185	0	15	0	8	0	3.28941270010546	1.20546580012888	50	1.31816569995135
99029	1	0	203	196.914179161778	6.08582083822177	4.12510688545198	-11.9141791617782	185	0	16	0	8	0	1.43987830029801	0.49005480017513	63	1.61874850001186
99029	1	0	196	202.883534414457	-6.88353441445697	5.96935525267874	-17.883534414457	185	0	17	1	8	0	1.83792089996859	0.571656600106508	65	1.60154259996489
99029	1	0	295	198.027156566356	96.9728434336437	-4.85637784810068	108.972843433644	307	1	0	0	8	0	1.97111070016399	0.504326000344008	70	1.78508200030774
99029	1	0	299	306.869897645844	-7.86989764584404	108.842741079488	0.130102354155923	307	0	1	1	8	1	3.03143189987168	0.0968705001287162	92	3.50299720000476
99029	1	0	297	301.55713234317	-4.55713234316967	-5.3127653026744	5.44286765683032	307	0	2	1	8	0	4.5619730995968	2.22892499994487	76	4.52031850023195
99029	1	0	328	303.794052492597	24.2059475074026	2.23692014942775	3.20594750740258	307	0	3	1	8	0	1.64886250020936	0.598913300316781	85	2.41881289985031
99029	1	0	277	311.869755137781	-34.8697551377809	8.07570264518347	-4.86975513778089	307	0	4	0	8	0	4.60941020026803	2.02575260028243	87	2.43540380010381
99029	1	0	301	308.717507911839	-7.71750791183864	-3.15224722594224	-1.71750791183865	307	0	5	1	8	0	1.85096610011533	0.100814300123602	74	1.86866879975423
99029	1	0	344	301.675468738109	42.3245312618908	-7.04203917372944	5.32453126189079	307	0	6	0	8	0	1.55064419982955	0.300861899740994	66	2.20207190001383
99029	1	0	333	344.279072214177	-11.2790722141772	42.603603476068	-37.2790722141772	307	0	7	1	8	0	0.92883410025388	0.196138000115752	30	2.46962520014495
99029	1	0	313	333.674178244876	-20.6741782448756	-10.6048939693017	-26.6741782448756	307	0	8	1	8	0	3.31987949972972	0.719857299700379	50	1.30129989981651
99029	1	0	297	321.821152364784	-24.8211523647843	-11.8530258800912	-14.8211523647843	307	0	9	1	8	0	1.78621229995042	0.269840699620545	62	2.2518846001476
99029	1	0	318	304.249033006812	13.7509669931881	-17.5721193579724	2.75096699318802	307	0	10	1	8	0	3.46597709972411	0.581732999999076	50	1.58460579998791
99029	1	0	342	309.755661889285	32.2443381107151	5.5066288824729	-2.75566188928487	307	0	11	0	8	0	1.28807750018314	0.00131089985370636	42	3.06976200034842
99029	1	0	279	320.997400573916	-41.9974005739155	11.2417386846306	-13.9974005739155	307	0	12	0	8	0	1.47930150013417	0.313400600105524	59	4.30354940006509
99029	1	0	327	278.88065915052	48.1193408494797	-42.1167414233952	28.1193408494797	307	0	13	1	8	0	2.22879819991067	0.262002900242805	12	2.73586359992623
99029	1	0	320	319.398705354996	0.601294645004472	40.5180462044752	-12.3987053549955	307	0	14	1	8	0	2.41823970014229	0.251224500127137	64	2.15183919994161
99029	1	0	324	321.095861544596	2.90413845540423	1.69715618960024	-14.0958615445958	307	0	15	1	8	0	2.29988480033353	0.366607900243253	73	1.81824729964137
99029	1	0	235	324.233323509277	-89.2333235092772	3.13746196468139	-17.2333235092772	307	0	16	0	8	0	2.16370130004361	0.381145200226456	80	1.98544149985537
99029	1	0	114	234.678260053134	-120.678260053134	-89.5550634561432	-85.6782600531339	149	1	0	0	8	0	1.71439019963145	0.0975098996423185	61	7.72320030024275
99029	1	0	150	113.932616308092	36.0673836919085	-120.745643745042	35.0673836919085	149	0	1	0	8	0	1.07900090003386	0.0142832999117672	16	3.68710359977558
99029	1	0	164	133.210089391754	30.7899106082461	19.2774730836624	15.7899106082461	149	0	2	1	8	0	1.7293912996538	0.363668200094253	60	3.5530178998597
99029	1	0	107	147.002294898784	-40.0022948987837	13.7922055070298	1.99770510121628	149	0	3	0	8	0	2.17114059999585	0.438889299985021	58	2.43563249986619
99029	1	0	161	125.928502422823	35.0714975771772	-21.0737924759609	23.0714975771772	149	0	4	0	8	0	1.49353369977325	0.394266099669039	66	2.53523240005597
99029	1	0	163	127.568592028827	35.4314079711725	1.64008960600467	21.4314079711725	149	0	5	0	8	0	1.01196489995345	0.295850900001824	71	2.30166599992663
99029	1	0	116	150.607824244761	-34.6078242447607	23.0392322159333	-1.60782424476075	149	0	6	0	8	0	1.61039909999818	0.377044999971986	43	2.31893319962546
99029	1	0	118	138.113438748057	-20.1134387480572	-12.4943854967035	10.8865612519428	149	0	7	1	8	0	1.48412960022688	0.43518690019846	60	1.86821399955079
